bus_name,gen_name,point,fuel,capacity
DALLAS 2 2,gen-227,POINT (-96.93076 32.7155280424052),GT,340.88
WILLIS 1 0,gen-476,POINT (-95.51059999999998 30.429391969007707),GT,651.36
SANTA ROSA 1 1,gen-142,POINT (-97.86341200000001 26.252733740863814),ST,1.68
CEDAR CREEK 1 4,gen-334,POINT (-97.54496000000002 30.138016940736197),GT,247.48
GRANBURY 1 3,gen-225,POINT (-97.719086 32.324333632451896),GT,315.36
GRAHAM 3,gen-194,POINT (-98.59910000000002 33.118571889248805),GT,380.82
PEARSALL 2,gen-154,POINT (-99.07930000000002 28.910956786835612),GT,40.32
FAIRFIELD 1 4,gen-516,POINT (-96.1005 31.8746514160553),GT,207.2
POINT COMFORT 2 4,gen-370,POINT (-96.5291 28.67196078598021),GT,137.88
LAPORTE 8,gen-397,POINT (-95.05478700000002 29.7152072468607),GT,456.84
HOUSTON 5 8,gen-408,POINT (-95.52556 29.9289091401206),GT,132.72
PASADENA 2 4,gen-353,POINT (-95.171439 29.716933938954103),GT,195.6
BAYTOWN 1 4,gen-422,POINT (-94.90886 29.6665800207589),GT,918.0
WADSWORTH 3,gen-379,POINT (-96.0355 28.781591002395697),ST,1625.16
NEWGULF 2,gen-449,POINT (-95.88710000000002 29.250551754073413),GT,122.28
CORPUS CHRISTI 3 3,gen-139,POINT (-97.29909999999998 27.564122407336892),GT,292.08
BASTROP 6,gen-265,POINT (-97.2582 30.123027391305598),GT,238.0
LAPORTE 9,gen-398,POINT (-95.05478700000002 29.713956599098008),GT,70.8
THOMPSONS 8,gen-457,POINT (-95.62606 29.471204230354388),GT,821.04
AUSTIN 1 0,gen-349,POINT (-97.838266 30.394866861665406),GT,435.6
HOUSTON 6 0,gen-477,POINT (-95.215109 29.819702359047994),GT,86.4
WHARTON 1 6,gen-443,POINT (-96.0557 29.265033736801307),GT,116.02
DENTON 1 3,gen-204,POINT (-97.10106 33.1887634953812),GT,1.92
PARIS 1 4,gen-69,POINT (-95.57739999999998 33.6090657820005),GT,221.66
IRVING 1 2,gen-202,POINT (-96.98796000000002 32.9116447373648),ST,6.84
GREGORY 2,gen-128,POINT (-97.245817 27.875766203357006),GT,172.8
IRAAN 3 1,gen-20,POINT (-101.91719999999998 30.865388508854693),GT,6.72
BRIDGEPORT 4,gen-235,POINT (-97.90820000000001 33.17757000500681),GT,256.0
PARIS 2 2,gen-46,POINT (-95.54510000000002 33.684069684954984),GT,100.0
PEARSALL 6,gen-158,POINT (-99.07930000000002 28.898350662980615),GT,80.64
MT. ENTERPRISE 4,gen-526,POINT (-94.607143 32.00485246901549),GT,281.88
FAIRFIELD 2 3,gen-521,POINT (-96.04180000000001 31.80759862623698),ST,712.08
FAIRFIELD 1 6,gen-518,POINT (-96.1005 31.868536934357316),GT,207.2
TEMPLE 1 3,gen-215,POINT (-97.311822 31.03655608523461),GT,321.28
DENTON 1 2,gen-203,POINT (-97.10106 33.18996858231391),GT,151.8
POOLVILLE 3,gen-208,POINT (-97.89770000000001 33.03642245621629),GT,298.4
PARIS 1 7,gen-72,POINT (-95.57739999999998 33.600070709169),GT,221.66
SANTA ROSA 1 4,gen-145,POINT (-97.86341200000001 26.2430473394144),ST,33.6
ELMENDORF 3,gen-312,POINT (-98.37746 29.248847748857216),GT,73.2
ELMENDORF 8,gen-317,POINT (-98.37746 29.242565514007815),GT,220.0
ENNIS 2,gen-240,POINT (-96.66996000000002 32.31482799175081),GT,250.8
FRANKLIN 5,gen-529,POINT (-96.47400000000002 31.167209297682206),ST,1077.24
BROWNSVILLE 1 0,gen-176,POINT (-97.51060000000001 25.906623725411485),GT,320.4
NURSERY 6,gen-361,POINT (-97.1224 28.86554144979861),GT,113.76
MONAHANS 1 1,gen-13,POINT (-102.9219 31.564730860981797),GT,390.24
FREEPORT 2 0,gen-504,POINT (-95.396681 28.98499101570269),GT,120.62
LA GRANGE 5,gen-284,POINT (-96.738 29.894575332167605),ST,676.0
MCKINNEY 1 7,gen-222,POINT (-96.59662600000001 33.15458782738859),GT,556.5
PARIS 2 3,gen-47,POINT (-95.54510000000002 33.68107404267649),GT,200.0
PEARSALL 5,gen-157,POINT (-99.07930000000002 28.901502337509),GT,40.32
THOMPSONS 15,gen-464,POINT (-95.62606 29.462428171656807),GT,123.24
ODESSA 1 10,gen-35,POINT (-102.2904 31.834183240019108),GT,343.8
LAPORTE 12,gen-401,POINT (-95.05478700000002 29.71020456233079),GT,70.8
PASADENA 2 3,gen-352,POINT (-95.171439 29.71818454962419),GT,195.6
SAN ANTONIO 2 7,gen-273,POINT (-98.60886 29.577316388379508),GT,68.88
PASADENA 3 3,gen-427,POINT (-95.04076 29.617179738104713),GT,365.52
THOMPSONS 5,gen-454,POINT (-95.62606 29.4749651658525),GT,376.59
ARLINGTON 1 6,gen-199,POINT (-97.13705 32.7626818970566),GT,525.92
GRANBURY 2 4,gen-245,POINT (-97.695516 32.393025166580806),GT,107.28
FREEPORT 2 0,gen-507,POINT (-95.396681 28.98499101570269),GT,90.0
SILVER 2,gen-81,POINT (-100.67910000000002 32.03703102567769),GT,1.56
CORPUS CHRISTI 3 4,gen-140,POINT (-97.29909999999998 27.560930984296302),GT,292.08
DALLAS 1 8,gen-190,POINT (-96.63940400000001 32.63496964093729),GT,370.16
SEGUIN 1 4,gen-305,POINT (-97.968175 29.585229703398298),GT,282.06
CHANNELVIEW 1 8,gen-470,POINT (-95.10269000000001 29.804542556854592),GT,128.72
BRYAN 2 0,gen-540,POINT (-96.36331600000001 30.64121549386309),GT,26.4
MARION 1 8,gen-281,POINT (-98.13686 29.61156854391941),GT,217.64
ODESSA 1 6,gen-31,POINT (-102.31380000000001 31.79364946639161),GT,230.56
AUSTIN 1 0,gen-351,POINT (-97.838266 30.394866861665406),GT,61.8
CORPUS CHRISTI 3 5,gen-141,POINT (-97.29909999999998 27.557739468474),GT,422.4
SNYDER 2 0,gen-117,POINT (-100.93666100000002 32.7410021133028),GT,61.56
MCKINNEY 1 3,gen-218,POINT (-96.59662600000001 33.15940995555839),GT,138.0
DEER PARK 6,gen-384,POINT (-95.12381600000002 29.71411817132631),GT,235.2
HOUSTON 5 6,gen-406,POINT (-95.52556 29.93140504677339),GT,132.72
JACKSONVILLE 1 5,gen-534,POINT (-94.97723400000001 31.923809986101606),ST,422.04
FREEPORT 2 0,gen-505,POINT (-95.396681 28.98499101570269),GT,120.62
PARIS 1 5,gen-70,POINT (-95.57739999999998 33.606067528657995),GT,221.66
FREEPORT 2 0,gen-499,POINT (-95.396681 28.98499101570269),GT,120.62
BAYTOWN 1 3,gen-421,POINT (-94.90886 29.66783125829779),GT,4.8
GREGORY 7,gen-133,POINT (-97.245817 27.8598536925239),GT,206.8
POINT COMFORT 2 7,gen-373,POINT (-96.5291 28.66248464197989),GT,137.88
MONAHANS 1 3,gen-15,POINT (-102.9219 31.55859590412069),GT,107.28
PASADENA 1 3,gen-450,POINT (-95.205238 29.71676745692711),ST,5.64
VICTORIA 2 3,gen-367,POINT (-96.99740000000001 28.77489014082899),GT,226.14
BRIDGEPORT 5,gen-236,POINT (-97.90820000000001 33.17455683021782),GT,256.0
ALVIN 0,gen-493,POINT (-95.18288 29.422491490378206),GT,135.0
ALVIN 0,gen-491,POINT (-95.18288 29.422491490378206),GT,135.0
SAN ANTONIO 1 6,gen-301,POINT (-98.33826000000002 29.418552395840692),GT,1118.4
AUSTIN 2 5,gen-322,POINT (-97.60786 30.202021993886394),GT,61.68
MCKINNEY 1 5,gen-220,POINT (-96.59662600000001 33.1569989246159),GT,138.0
BASTROP 4,gen-263,POINT (-97.2582 30.12925483342302),GT,511.2
ELMENDORF 5,gen-314,POINT (-98.37746 29.246334901200395),GT,357.6
RIESEL 1 2,gen-232,POINT (-96.944549 31.458257298444906),ST,1209.6
SAN ANTONIO 2 4,gen-270,POINT (-98.60886 29.581073381057408),GT,11.52
LA PORTE 0,gen-487,POINT (-95.037022 29.69233618154429),GT,105.84
MIDLOTHIAN 1 0,gen-255,POINT (-97.04938 32.42776911654429),GT,346.8
HOUSTON 4 8,gen-417,POINT (-95.39032 29.709479586802807),GT,277.14
PALO PINTO 1 2,gen-247,POINT (-98.29770000000002 32.639155116415594),GT,146.4
BAYTOWN 2 5,gen-377,POINT (-94.89686 29.765287707192716),GT,274.38
ARLINGTON 1 4,gen-197,POINT (-97.13705 32.76510371156449),GT,525.92
SHERMAN 1 3,gen-65,POINT (-96.60529300000002 33.56682617169601),GT,321.28
MIDLOTHIAN 1 0,gen-254,POINT (-97.04938 32.42776911654429),GT,346.8
PASADENA 2 7,gen-356,POINT (-95.171439 29.713182013458706),GT,195.6
FREEPORT 2 0,gen-503,POINT (-95.396681 28.98499101570269),GT,120.62
BAYTOWN 2 6,gen-378,POINT (-94.89686 29.764037683803394),GT,274.38
GLEN ROSE 1 2,gen-212,POINT (-97.772915 32.28238785536839),ST,1458.0
CEDAR CREEK 1 5,gen-335,POINT (-97.54496000000002 30.136771594285992),GT,247.48
SNYDER 2 0,gen-116,POINT (-100.93666100000002 32.7410021133028),GT,61.56
SAN ANTONIO 2 6,gen-272,POINT (-98.60886 29.578568734808712),GT,68.88
ARLINGTON 1 3,gen-196,POINT (-97.13705 32.76631459411318),GT,2.16
PEARSALL 7,gen-159,POINT (-99.07930000000002 28.895198892753402),GT,79.2
FAIRFIELD 1 7,gen-519,POINT (-96.1005 31.865479541371617),GT,207.2
ALVIN 0,gen-496,POINT (-95.18288 29.422491490378206),GT,206.64
WICHITA FALLS 1 3,gen-50,POINT (-98.48050000000002 33.897613771944),ST,864.0
HOUSTON 3 1,gen-390,POINT (-95.63680900000001 29.716950427164097),GT,4.44
WICHITA FALLS 1 2,gen-49,POINT (-98.48050000000002 33.9006018474354),ST,7.2
WADSWORTH 4,gen-380,POINT (-96.0355 28.77843569355472),ST,1625.16
DEER PARK 3,gen-381,POINT (-95.12381600000002 29.717870061833906),GT,180.0
MCKINNEY 1 4,gen-219,POINT (-96.59662600000001 33.158204448372885),GT,138.0
NEW BRAUNFELS 1 6,gen-339,POINT (-98.01776 29.728134437632697),GT,296.7
SHIRO 3,gen-511,POINT (-95.90519999999998 30.579228719156287),GT,281.91
VICTORIA 1 0,gen-485,POINT (-96.94521399999999 28.668770854419012),GT,122.88
ALVIN 0,gen-495,POINT (-95.18288 29.422491490378206),GT,229.32
POINT COMFORT 1 0,gen-483,POINT (-96.549197 28.633752374787612),GT,75.72
DEER PARK 7,gen-385,POINT (-95.12381600000002 29.71286750999621),GT,235.2
CORPUS CHRISTI 1 3,gen-163,POINT (-97.45170000000002 27.803551233740407),GT,237.32
JEWETT 1 3,gen-523,POINT (-96.2399 31.408842811913992),ST,1109.88
SHIRO 4,gen-512,POINT (-95.90519999999998 30.576129334180592),GT,281.91
GREENVILLE 1 2,gen-192,POINT (-96.1138 33.148850423698306),GT,101.64
MISSION 1 2,gen-135,POINT (-98.3866 26.15227075611529),GT,211.6
BROWNSVILLE 1 0,gen-177,POINT (-97.51060000000001 25.906623725411485),GT,320.4
TEMPLE 1 4,gen-216,POINT (-97.311822 31.033471416601706),GT,321.28
MONAHANS 1 4,gen-16,POINT (-102.9219 31.555528274374485),GT,107.28
BAYTOWN 1 5,gen-423,POINT (-94.90886 29.6653287676551),GT,918.0
DALLAS 2 3,gen-228,POINT (-96.93076 32.714316469530594),GT,340.88
DALLAS 1 3,gen-185,POINT (-96.63940400000001 32.6410327240271),GT,7.68
ARLINGTON 1 2,gen-195,POINT (-97.13705 32.76752546019151),GT,12.72
GREGORY 5,gen-131,POINT (-97.245817 27.8662189772609),GT,206.8
ALVIN 0,gen-492,POINT (-95.18288 29.422491490378206),GT,135.0
DEER PARK 8,gen-386,POINT (-95.12381600000002 29.711616833086417),GT,235.2
VICTORIA 2 4,gen-368,POINT (-96.99740000000001 28.77173462930361),GT,226.14
SNYDER 2 0,gen-115,POINT (-100.93666100000002 32.7410021133028),GT,61.56
JACKSONVILLE 1 3,gen-532,POINT (-94.97723400000001 31.9299207975652),ST,12.0
DALLAS 1 2,gen-184,POINT (-96.63940400000001 32.642245291333516),GT,5.04
IRAAN 3 2,gen-21,POINT (-101.91719999999998 30.862298309154202),GT,2.4
SANTA ROSA 1 3,gen-144,POINT (-97.86341200000001 26.2462762296173),ST,9.12
BRIDGEPORT 3,gen-234,POINT (-97.90820000000001 33.180583076193095),GT,256.0
PASADENA 3 4,gen-428,POINT (-95.04076 29.615927870959286),GT,108.77
WICHITA FALLS 2 2,gen-57,POINT (-98.5858 33.84680442965061),GT,24.0
NURSERY 4,gen-359,POINT (-97.1224 28.87184669468889),GT,56.88
LA PORTE 0,gen-486,POINT (-95.037022 29.69233618154429),GT,105.84
ALVIN 0,gen-498,POINT (-95.18288 29.422491490378206),GT,206.64
TRINIDAD 1 0,gen-538,POINT (-96.090477 32.1184211563178),ST,4.8
MCKINNEY 1 8,gen-223,POINT (-96.59662600000001 33.1533822539188),GT,556.5
CHANNELVIEW 1 5,gen-467,POINT (-95.10269000000001 29.8082910631445),GT,128.72
AUSTIN 1 0,gen-345,POINT (-97.838266 30.394866861665406),GT,5.52
CORPUS CHRISTI 1 4,gen-164,POINT (-97.45170000000002 27.800366799638997),GT,237.32
CHANNELVIEW 1 12,gen-474,POINT (-95.10269000000001 29.799544329941995),GT,220.39
WHARTON 1 5,gen-442,POINT (-96.0557 29.268174212536003),GT,116.02
HOUSTON 4 10,gen-419,POINT (-95.39032 29.7069781330027),GT,277.14
AUSTIN 2 4,gen-321,POINT (-97.60786 30.203266516170505),GT,232.8
PEARSALL 3,gen-155,POINT (-99.07930000000002 28.907805399443088),GT,40.32
MCKINNEY 1 2,gen-217,POINT (-96.59662600000001 33.160615446172),GT,3.84
ELMENDORF 10,gen-319,POINT (-98.37746 29.240052512079192),GT,220.0
ODESSA 1 4,gen-29,POINT (-102.31380000000001 31.799768911680815),GT,230.56
HOUSTON 1 1,gen-357,POINT (-95.25246 29.80299064926621),GT,4.8
FREEPORT 2 0,gen-502,POINT (-95.396681 28.98499101570269),GT,120.62
GRANBURY 2 3,gen-244,POINT (-97.695516 32.39424108452731),GT,107.28
LAPORTE 4,gen-393,POINT (-95.05478700000002 29.720209682102507),GT,247.86
MIDLOTHIAN 1 0,gen-257,POINT (-97.04938 32.42776911654429),GT,346.8
ARLINGTON 1 5,gen-198,POINT (-97.13705 32.7638928125455),GT,525.92
GREGORY 3,gen-129,POINT (-97.245817 27.8725838881357),GT,172.8
MISSION 1 3,gen-136,POINT (-98.3866 26.14903925832189),GT,211.6
ELMENDORF 9,gen-318,POINT (-98.37746 29.241309020756596),GT,220.0
BROWNSVILLE 1 0,gen-179,POINT (-97.51060000000001 25.906623725411485),GT,220.52
BISHOP 1,gen-127,POINT (-97.8192 27.5497530973616),GT,53.04
MOUNT PLEASANT 1 3,gen-535,POINT (-95.02910000000001 33.078880759025),ST,792.0
SANTA ROSA 1 9,gen-150,POINT (-97.86341200000001 26.226901542913584),ST,33.6
AUSTIN 2 6,gen-323,POINT (-97.60786 30.200777455867705),GT,308.4
DALLAS 2 4,gen-229,POINT (-96.93076 32.713104880199),GT,340.88
WHARTON 1 3,gen-440,POINT (-96.0557 29.274454874592493),GT,116.02
WICHITA FALLS 2 1,gen-56,POINT (-98.5858 33.8497942844651),GT,24.0
DEER PARK 10,gen-388,POINT (-95.12381600000002 29.709115432529103),GT,235.2
BROWNSVILLE 1 0,gen-173,POINT (-97.51060000000001 25.906623725411485),GT,73.2
GREGORY 4,gen-130,POINT (-97.245817 27.869401479434597),GT,172.8
BRYAN 1 0,gen-544,POINT (-96.45 30.71551025762),GT,117.84
CEDAR CREEK 1 3,gen-333,POINT (-97.54496000000002 30.139262271471804),GT,247.48
HOUSTON 5 10,gen-410,POINT (-95.52556 29.926413170872888),GT,105.26
ODESSA 1 5,gen-30,POINT (-102.31380000000001 31.796709239684713),GT,230.56
FREEPORT 2 0,gen-509,POINT (-95.396681 28.98499101570269),GT,14.04
HOUSTON 4 4,gen-413,POINT (-95.39032 29.714482307455686),GT,57.6
THOMPSONS 14,gen-463,POINT (-95.62606 29.463681940827307),GT,270.24
CORPUS CHRISTI 2 1,gen-134,POINT (-97.5245 27.805932556264096),GT,56.4
SANTA ROSA 1 8,gen-149,POINT (-97.86341200000001 26.230130881585993),ST,33.6
ELMENDORF 6,gen-315,POINT (-98.37746 29.24507845423008),GT,357.6
SAN ANTONIO 2 5,gen-271,POINT (-98.60886 29.579821065701395),GT,5.28
SAN ANTONIO 2 3,gen-269,POINT (-98.60886 29.582325680875996),GT,4.08
DEER PARK 11,gen-389,POINT (-95.12381600000002 29.70786470888249),GT,235.2
SANTA ROSA 1 7,gen-148,POINT (-97.86341200000001 26.233360130580113),ST,33.6
FREEPORT 2 0,gen-501,POINT (-95.396681 28.98499101570269),GT,156.0
SAN ANTONIO 1 4,gen-299,POINT (-98.33826000000002 29.421061002726088),GT,535.2
POINT COMFORT 2 3,gen-369,POINT (-96.5291 28.675119310217006),GT,137.88
MARION 1 4,gen-277,POINT (-98.13686 29.616576135777205),GT,217.64
THOMPSONS 11,gen-460,POINT (-95.62606 29.4674431553424),GT,19.56
PALO PINTO 1 4,gen-249,POINT (-98.29770000000002 32.633091906071485),GT,146.4
MT. ENTERPRISE 3,gen-525,POINT (-94.607143 32.00790522975309),GT,281.88
CHANNELVIEW 1 13,gen-475,POINT (-95.10269000000001 29.798294734194),GT,220.39
MONAHANS 1 2,gen-14,POINT (-102.9219 31.561663432991608),GT,390.24
BREMOND 0,gen-541,POINT (-96.68423 31.085759152857804),ST,209.52
PALO PINTO 1 3,gen-248,POINT (-98.29770000000002 32.636123562607004),GT,146.4
MIDLOTHIAN 1 0,gen-256,POINT (-97.04938 32.42776911654429),GT,346.8
HOUSTON 4 9,gen-418,POINT (-95.39032 29.7082288676919),GT,277.14
FAIRFIELD 1 8,gen-520,POINT (-96.1005 31.86242204696871),GT,207.2
POINT COMFORT 2 6,gen-372,POINT (-96.5291 28.66564345185492),GT,137.88
CHANNELVIEW 1 3,gen-465,POINT (-95.10269000000001 29.810789989286896),GT,128.72
WINCHESTER 5,gen-295,POINT (-96.9749 30.0217370567636),GT,145.2
ODESSA 1 2,gen-27,POINT (-102.31380000000001 31.80588795176119),GT,230.56
LAPORTE 11,gen-400,POINT (-95.05478700000002 29.711455256832604),GT,70.8
BASTROP 7,gen-266,POINT (-97.2582 30.11991352296321),GT,238.0
BREMOND 0,gen-542,POINT (-96.68423 31.085759152857804),ST,209.52
HOUSTON 6 0,gen-482,POINT (-95.215109 29.819702359047994),GT,535.68
HOUSTON 5 5,gen-405,POINT (-95.52556 29.932652976625693),GT,132.72
CHANNELVIEW 1 11,gen-473,POINT (-95.10269000000001 29.8007939100825),GT,220.39
LAPORTE 7,gen-396,POINT (-95.05478700000002 29.7164578790429),GT,247.86
DALLAS 1 6,gen-188,POINT (-96.63940400000001 32.63739492348349),GT,370.16
MONT BELVIEU 2,gen-432,POINT (-94.91465999999998 29.819390446066897),GT,30.84
FREEPORT 2 0,gen-500,POINT (-95.396681 28.98499101570269),GT,156.0
AUSTIN 1 0,gen-346,POINT (-97.838266 30.394866861665406),GT,1.8
FREEPORT 1 5,gen-447,POINT (-95.3294 28.963665200993894),GT,149.37
MONT BELVIEU 3,gen-433,POINT (-94.91465999999998 29.818141098271607),GT,18.0
BAYTOWN 2 3,gen-375,POINT (-94.89686 29.767787707181103),GT,274.38
MIDLOTHIAN 1 0,gen-259,POINT (-97.04938 32.42776911654429),GT,346.8
AUSTIN 1 0,gen-348,POINT (-97.838266 30.394866861665406),GT,7.68
FAIRFIELD 1 3,gen-515,POINT (-96.1005 31.877708504757106),GT,207.2
BAYTOWN 1 7,gen-425,POINT (-94.90886 29.662826214754595),GT,214.2
MIDLOTHIAN 1 0,gen-258,POINT (-97.04938 32.42776911654429),GT,346.8
DEER PARK 9,gen-387,POINT (-95.12381600000002 29.710366140597316),GT,235.2
MONAHANS 1 6,gen-18,POINT (-102.94530000000002 31.57776630436199),GT,214.56
ODESSA 1 7,gen-32,POINT (-102.31380000000001 31.7905895918071),GT,114.6
AUSTIN 1 0,gen-350,POINT (-97.838266 30.394866861665406),GT,435.6
MIDLOTHIAN 1 0,gen-261,POINT (-97.04938 32.42776911654429),GT,169.56
AUSTIN 1 0,gen-347,POINT (-97.838266 30.394866861665406),GT,4.8
NURSERY 5,gen-360,POINT (-97.1224 28.8686941200619),GT,56.88
LAPORTE 10,gen-399,POINT (-95.05478700000002 29.712705935755206),GT,70.8
MONAHANS 1 5,gen-17,POINT (-102.9219 31.552460543758492),GT,107.28
POOLVILLE 2,gen-207,POINT (-97.89770000000001 33.039440371560005),GT,298.4
BRIDGEPORT 7,gen-238,POINT (-97.90820000000001 33.16853016985089),GT,256.0
JACKSONVILLE 1 4,gen-533,POINT (-94.97723400000001 31.9268654425955),ST,422.04
DALLAS 1 7,gen-189,POINT (-96.63940400000001 32.63618229042851),GT,370.16
BROWNSVILLE 1 0,gen-172,POINT (-97.51060000000001 25.906623725411485),GT,28.8
NEW BRAUNFELS 1 7,gen-340,POINT (-98.01776 29.726883950947098),GT,296.7
ROCKDALE 1 3,gen-296,POINT (-97.05143200000002 30.54649555124572),ST,708.72
GRANBURY 2 5,gen-246,POINT (-97.695516 32.391809232262695),GT,107.28
BRIDGEPORT 8,gen-239,POINT (-97.90820000000001 33.165516684282494),GT,256.0
AUSTIN 1 0,gen-342,POINT (-97.838266 30.394866861665406),GT,61.8
POOLVILLE 4,gen-209,POINT (-97.89770000000001 33.03340443749472),GT,298.4
JEWETT 1 4,gen-524,POINT (-96.2399 31.40577026825629),ST,1109.88
PARIS 1 3,gen-68,POINT (-95.57739999999998 33.61206393106889),GT,221.66
NEW BRAUNFELS 1 5,gen-338,POINT (-98.01776 29.72938490873369),GT,296.7
SAN ANTONIO 1 8,gen-303,POINT (-98.33826000000002 29.416043727018),GT,866.4
PASADENA 2 5,gen-354,POINT (-95.171439 29.715683312702804),GT,195.6
THOMPSONS 3,gen-452,POINT (-95.62606 29.477472378671287),GT,376.59
PASADENA 1 4,gen-451,POINT (-95.205238 29.715516828601803),ST,544.2
CHRISTINE 2,gen-121,POINT (-98.4559 28.69176886409431),ST,492.0
HOUSTON 5 11,gen-411,POINT (-95.52556 29.925165162777002),GT,421.04
BAYTOWN 2 4,gen-376,POINT (-94.89686 29.766537714985414),GT,274.38
LAREDO 1 3,gen-153,POINT (-99.49630000000002 27.549944387416698),GT,158.16
ODESSA 1 1,gen-26,POINT (-102.31380000000001 31.808947319834704),GT,230.56
NURSERY 3,gen-358,POINT (-97.1224 28.874999173673),GT,26.88
SHIRO 6,gen-514,POINT (-95.90519999999998 30.569930267047397),GT,281.91
SEGUIN 1 6,gen-307,POINT (-97.968175 29.582725160287595),GT,282.06
PASADENA 3 6,gen-430,POINT (-95.04076 29.613424090023408),GT,108.77
SILVER 3,gen-82,POINT (-100.67910000000002 32.03397923529031),GT,107.28
PARIS 1 2,gen-67,POINT (-95.57739999999998 33.6150619758586),GT,221.66
ALVIN 0,gen-488,POINT (-95.18288 29.422491490378206),GT,8.16
LEWSIVILLE 1,gen-252,POINT (-96.960546 33.0120993231214),GT,14.88
CHANNELVIEW 1 7,gen-469,POINT (-95.10269000000001 29.8057920745609),GT,128.72
DEER PARK 4,gen-382,POINT (-95.12381600000002 29.716619447245495),GT,61.2
WINCHESTER 3,gen-293,POINT (-96.9749 30.027970877458294),GT,72.6
