name,line,voltage
NACOGDOCHES 2 0-NACOGDOCHES 3 0-i_3074,"LINESTRING (-94.619596 31.717204498668977, -94.731721 31.625611455095406",115.0
SPRING 1 0-CONROE 6 0-i_2254,"LINESTRING (-95.35277700000002 30.097902342435898, -95.49208100000001 30.231356713271317",115.0
HOUSTON 89 0-HOCKLEY 0-i_2788,"LINESTRING (-95.64763400000001 29.90671853700871, -95.830133 30.045126013122413",115.0
ELGIN 0-PAIGE 0-i_1614,"LINESTRING (-97.35762400000002 30.336098368327097, -97.20989899999996 30.29766860129109",115.0
PASADENA 2 2-HOUSTON 19 0-i_2201,"LINESTRING (-95.162079 29.715995970726297, -95.27303000000002 29.644508991553792",115.0
BAYTOWN 2 2-MONT BELVIEU 1-i_2393,"LINESTRING (-94.8875 29.76560021060301, -94.9053 29.822201421517615",115.0
MERKEL 3 0-SWEETWATER 1 0-i_306,"LINESTRING (-100.02372300000002 32.46754659624139, -100.1196 32.4020211797149",115.0
SAN ANGELO 1 0-MILES 0-i_353,"LINESTRING (-100.31307500000001 31.503581427543097, -100.18361600000001 31.58587983835921",115.0
DALLAS 13 0-DALLAS 11 0-i_1067,"LINESTRING (-96.753246 32.7481797910802, -96.74276200000001 32.76821333597079",161.0
NORTH RICHLAND HILLS 1 0-NORTH RICHLAND HILLS 2 0-i_1316,"LINESTRING (-97.20478399999999 32.884171495720814, -97.221695 32.8375912252615",161.0
RIESEL 1 1 - SUN_VALLEY 2 - 3278,"LINESTRING (-96.92114900000001 31.468237107671296, -96.98 31.57",161.0
ALICE 0-BISHOP 0-i_619,"LINESTRING (-98.06671999999999 27.653542640230786, -97.81380000000001 27.56331738547781",115.0
MANSFIELD 0-CORSICANA 2 0-i_939,"LINESTRING (-97.184054 32.50154410714119, -96.62174700000001 32.05183571151851",500.0
WINCHESTER 1-BASTROP 1-i_1607,"LINESTRING (-96.95150000000001 30.031866816332393, -97.2348 30.1393735890793",230.0
SEGUIN 1 0-NURSERY 0-i_1960,"LINESTRING (-97.96601500000001 29.5905516511325, -97.117 28.888396142184707",500.0
HOUSTON 16 0-LA PORTE 0-i_2406,"LINESTRING (-95.252651 29.7571647973307, -95.037022 29.69233618154429",115.0
SUGAR LAND 1 0-HOUSTON 83 0-i_2418,"LINESTRING (-95.602093 29.617808327972007, -95.581217 29.697186302317807",115.0
VALLEY MILLS 0-JONESBORO 0-i_1144,"LINESTRING (-97.497079 31.656030460492712, -97.795426 31.762881518419913",161.0
DALLAS 11 0-DALLAS 9 0-i_1072,"LINESTRING (-96.74276200000001 32.76821333597079, -96.740403 32.78982292405999",161.0
SAN ANTONIO 30 0-SAN ANTONIO 37 2-i_2023,"LINESTRING (-98.51943000000001 29.51389475062251, -98.56513100000001 29.494187974427106",115.0
KILLEEN 4 0-TEMPLE 1 0-i_1276,"LINESTRING (-97.92377900000001 30.929830058019014, -97.306422 31.049664812048306",500.0
SUGAR LAND 1 0-SUGAR LAND 2 2-i_2412,"LINESTRING (-95.602093 29.617808327972007, -95.63169600000002 29.560733394819216",115.0
ARMSTRONG 2 0-RAYMONDVILLE 0-i_623,"LINESTRING (-97.764774 26.9045935015308, -97.43333100000001 26.562868182504012",115.0
BARTLETT 0-ROGERS 0-i_1397,"LINESTRING (-97.282628 30.783068598473612, -97.216223 30.93400732785931",161.0
DALLAS 43 0-DUNCANVILLE 2 0-i_1506,"LINESTRING (-96.932965 32.67381377099551, -96.912868 32.640786875159606",161.0
HOUSTON 22 0-HOUSTON 15 0-i_2469,"LINESTRING (-95.30531 29.741063395721014, -95.25047600000002 29.849881113750886",115.0
ODESSA 1 8 - MCCAMEY 1 2 - 3322,"LINESTRING (-102.3084 31.834183240019108, -102.23090000000002 31.20304177581981",500.0
SUN_VALLEY 1 - MART 0 - 3277,"LINESTRING (-96.86 31.57, -96.793449 31.554859797419915",161.0
CAUSE_SOLAR - SAN ANTONIO 22 1 - 3292,"LINESTRING (-98.46 29.25, -98.470412 29.275767875508507",115.0
KINGSLAND 0-FREDERICKSBURG 0-i_319,"LINESTRING (-98.433748 30.666625121948993, -98.86768300000001 30.274720146851507",115.0
AUSTIN 3 2-AUSTIN 25 0-i_1644,"LINESTRING (-97.784408 30.285963478461994, -97.76245000000002 30.290781218580197",115.0
TROY 0-MOODY 0-i_900,"LINESTRING (-97.256253 31.189745910337493, -97.38106100000002 31.2789327222181",161.0
PALO PINTO 2 0-MINERAL WELLS 0-i_1104,"LINESTRING (-98.26787900000001 32.758041271680085, -98.117806 32.793549687378",161.0
CLEBURNE 1 0-GRANDVIEW 0-i_1047,"LINESTRING (-97.32394000000001 32.390156103220804, -97.15716 32.278488100975004",161.0
ARMSTRONG 2 0-RAYMONDVILLE 0-i_622,"LINESTRING (-97.764774 26.9045935015308, -97.43333100000001 26.562868182504012",115.0
LAREDO 6 0-LAREDO 3 0-i_568,"LINESTRING (-99.493143 27.50742513822979, -99.25816099999999 27.550605646412894",115.0
DOVE_RUN - SARITA 1 0 - 3263,"LINESTRING (-98.14 27.25, -97.77116700000002 27.21665334296649",230.0
HOUSTON 41 0-HOUSTON 40 0-i_2568,"LINESTRING (-95.391272 29.932199175863314, -95.38892700000001 29.88786306457909",115.0
KINGWOOD 2 0-HUMBLE 1 0-i_2628,"LINESTRING (-95.217422 30.04428399193101, -95.17389900000002 29.992004677254894",115.0
ABILENE 7 0-MERKEL 2 0-i_358,"LINESTRING (-99.918724 32.32746716431369, -100.04538900000001 32.305470686533006",115.0
SAN ANTONIO 14 0-SAN ANTONIO 12 1-i_1710,"LINESTRING (-98.423468 29.624710499456985, -98.398171 29.58335747258072",115.0
WAXAHACHIE 2 0-RED OAK 0-i_1471,"LINESTRING (-96.91192300000002 32.358396248402, -96.803715 32.51934458803692",161.0
LUFKIN 3 1-LUFKIN 1 0-i_3009,"LINESTRING (-94.80457 31.334633359527395, -94.734611 31.3596849973202",115.0
HOCKLEY 0-CYPRESS 2 0-i_2771,"LINESTRING (-95.830133 30.045126013122413, -95.74403 29.931834166708203",115.0
PEARLAND 2 0-HOUSTON 65 0-i_2435,"LINESTRING (-95.346468 29.542819467209306, -95.48255 29.618232338505507",115.0
GOLIAD 0-YORKTOWN 0-i_803,"LINESTRING (-97.570237 28.561954425347704, -97.419562 28.851427899044594",115.0
AUSTIN 12 0-AUSTIN 26 0-i_1834,"LINESTRING (-97.703253 30.385495623362097, -97.764536 30.345750613416303",115.0
GORMAN 0-May-00-i_1205,"LINESTRING (-98.97614000000002 32.1108546508137, -98.91840400000001 31.925122275744005",161.0
SEBASTIAN 1 0-HARLINGEN 1 0-i_654,"LINESTRING (-97.65780000000001 26.342467843903417, -97.658502 26.249065643788807",115.0
STILLWATER_SOLAR - CORPUS CHRISTI 18 0 - 3293,"LINESTRING (-97.62 27.85, -97.587306 27.831880073175398",115.0
ROANOKE 0-COLLEYVILLE 0-i_1373,"LINESTRING (-97.22311999999998 33.006919851289794, -97.14604099999998 32.88936863757011",161.0
DALLAS 38 0-DALLAS 37 0-i_1031,"LINESTRING (-96.869456 32.66319348283831, -96.86828900000002 32.701489522304996",161.0
GRANGER 0-JARRELL 0-i_1902,"LINESTRING (-97.410285 30.708380872340808, -97.49348499999999 30.812449488979293",115.0
LINDALE 0-MINEOLA 0-i_3024,"LINESTRING (-95.426716 32.5318269365666, -95.415745 32.81038083324151",115.0
KEMP 0-RICE 0-i_1291,"LINESTRING (-96.236039 32.3606043922518, -96.46650900000002 32.22302215540821",161.0
HENRIETTA 0-PETROLIA 0-i_212,"LINESTRING (-98.193251 33.75250380259039, -98.25032 34.0023393036029",161.0
BROWNSVILLE 2 0 - RAYOS_DEL_SOL - 3266,"LINESTRING (-97.30714400000001 25.937448418873302, -97.5 26.29",230.0
FORT WORTH 1 0-IRVING 3 0-i_899,"LINESTRING (-97.045081 32.8215577883255, -96.951303 32.7941870428682",161.0
PASADENA 4 0-PASADENA 5 0-i_2970,"LINESTRING (-95.136715 29.643140957541416, -95.18617999999998 29.64541301403071",115.0
HOUSTON 8 0-HOUSTON 7 0-i_2630,"LINESTRING (-95.12701300000002 29.571047167143806, -95.11577 29.611098161292116",115.0
DE LEON 0-MINGUS 0-i_1383,"LINESTRING (-98.543257 32.2925078160736, -98.409168 32.449332367773415",161.0
PASADENA 3 0-BAYTOWN 1 0-i_2713,"LINESTRING (-95.0386 29.619996382330505, -94.90670000000001 29.6718976727995",500.0
SAN ANTONIO 8 0-SAN ANTONIO 1 2-i_1929,"LINESTRING (-98.38376100000002 29.444142025181716, -98.32889999999999 29.41886597508869",115.0
MCCAMEY 1 0-CRANE 0-i_59,"LINESTRING (-102.2201 31.20304177581981, -102.587253 31.18072832353469",115.0
FORT WORTH 5 0-FORT WORTH 6 0-i_1123,"LINESTRING (-97.259025 32.68872317566861, -97.265832 32.72162406924979",161.0
MERKEL 1 0-WINGATE 0-i_401,"LINESTRING (-100.15898600000001 32.3121361342405, -100.03912000000001 32.20793214444782",230.0
SABINAL 0-UVALDE 0-i_480,"LINESTRING (-99.621829 29.297538142913105, -100.00687000000002 29.144723767626097",115.0
SANDIA 0-ORANGE GROVE 0-i_762,"LINESTRING (-97.953915 28.086809093890796, -98.051187 27.9798857785183",115.0
SAN ANTONIO 25 0-SAN ANTONIO 31 0-i_1666,"LINESTRING (-98.484282 29.534758267435326, -98.521662 29.587523575974096",115.0
RAYMONDVILLE 0-SAN PERLITA 1-i_807,"LINESTRING (-97.43333100000001 26.562868182504012, -97.669511 26.46883290649291",115.0
EULESS 2 0-ARLINGTON 6 0-i_1061,"LINESTRING (-97.087723 32.8116865194124, -97.09645200000001 32.782530725569714",161.0
WEST 0-ABBOTT 0-i_1396,"LINESTRING (-97.234292 31.810072642355312, -97.07641 31.875613987914",161.0
ARLINGTON 1 0-GRANBURY 2 0-i_983,"LINESTRING (-97.13488999999998 32.772671457267094, -97.693356 32.40062438513922",500.0
JOSHUA 0-GRANBURY 3 0-i_1423,"LINESTRING (-97.53627400000002 32.4235050016131, -97.627411 32.55964267759129",161.0
TOMBALL 2 0-HOUSTON 81 0-i_2695,"LINESTRING (-95.677904 30.059234368272115, -95.577168 29.856102269414208",115.0
DALLAS 44 0-DUNCANVILLE 2 0-i_1097,"LINESTRING (-96.961022 32.63365168172731, -96.912868 32.640786875159606",161.0
HOUSTON 16 0-LA PORTE 0-i_2407,"LINESTRING (-95.252651 29.7571647973307, -95.037022 29.69233618154429",115.0
SAN ANTONIO 48 0-SAN ANTONIO 50 2-i_1726,"LINESTRING (-98.67318500000002 29.45949840472629, -98.72635399999999 29.394616121928106",115.0
NORTON_SOLAR - BLACKWELL 0 - 3307,"LINESTRING (-100.26 31.97, -100.2596 32.192007078000785",115.0
PASADENA 4 0-LA PORTE 0-i_2978,"LINESTRING (-95.136715 29.643140957541416, -95.037022 29.69233618154429",115.0
FREEPORT 1 2-FREEPORT 3 0-i_2902,"LINESTRING (-95.306 28.964452632280203, -95.269251 29.014921839300104",115.0
ROANOKE 0-FORT WORTH 10 0-i_1372,"LINESTRING (-97.22311999999998 33.006919851289794, -97.30688600000002 32.9729449214079",161.0
BAIRD 0-GORMAN 0-i_1127,"LINESTRING (-99.18927200000002 32.33506867521152, -98.97614000000002 32.1108546508137",161.0
SUGAR LAND 1 0-STAFFORD 0-i_2422,"LINESTRING (-95.602093 29.617808327972007, -95.564368 29.621806427300708",115.0
DALLAS 20 0-DALLAS 28 0-i_1267,"LINESTRING (-96.785252 32.799711193277005, -96.809303 32.80942645785392",161.0
HOUSTON 4 2-HOUSTON 39 0-i_2692,"LINESTRING (-95.38095999999999 29.709792264146415, -95.387702 29.750972052268914",115.0
CORPUS CHRISTI 1 1-CORPUS CHRISTI 14 0-i_787,"LINESTRING (-97.4283 27.813899999999997, -97.436795 27.8463549371006",115.0
LULING 0-MARTINDALE 0-i_1826,"LINESTRING (-97.46166300000002 29.68985541624332, -97.776202 29.653338144464406",115.0
SAN ANTONIO 42 0-SAN ANTONIO 27 0-i_1619,"LINESTRING (-98.58981100000003 29.368926168767107, -98.490053 29.462103469130412",115.0
WICHITA FALLS 3 0-SHEPPARD AFB 0-i_176,"LINESTRING (-98.37975700000001 33.9988140558687, -98.50001600000002 33.96952299999999",161.0
ROUND ROCK 3 1-GEORGETOWN 3 0-i_2151,"LINESTRING (-97.63856600000001 30.499265520933893, -97.798899 30.83561298057422",230.0
FORT WORTH 27 0-AZLE 0-i_1421,"LINESTRING (-97.47857800000001 32.84490642467502, -97.557579 32.897777867131175",161.0
HOUSTON 48 0-HOUSTON 45 0-i_2654,"LINESTRING (-95.41333300000002 29.79574976054061, -95.427498 29.757900393431",115.0
FRANKSTON 0-MURCHISON 0-i_3033,"LINESTRING (-95.409796 32.02983524472521, -95.634712 32.15246143180049",115.0
HOUSTON 5 2-HOUSTON 69 0-i_2621,"LINESTRING (-95.5162 29.93296495664351, -95.49245800000001 29.954738741390297",115.0
ARLINGTON 6 0-ARLINGTON 4 0-i_1138,"LINESTRING (-97.09645200000001 32.782530725569714, -97.079596 32.7518498908807",161.0
ENNIS 0-DALLAS 3 0-i_1534,"LINESTRING (-96.6678 32.317566150555116, -96.674229 32.707882695939915",500.0
AUSTIN 32 0-AUSTIN 17 0-i_1998,"LINESTRING (-97.86559 30.265650581658207, -97.72897100000002 30.349052697278807",115.0
SAN ANTONIO 8 0-SAN ANTONIO 1 2-i_1930,"LINESTRING (-98.38376100000002 29.444142025181716, -98.32889999999999 29.41886597508869",115.0
FRESNO 0-MANVEL 0-i_2645,"LINESTRING (-95.471015 29.534795268352198, -95.357802 29.47895388584201",115.0
GRAHAM 0-JACKSBORO 1 0-i_865,"LINESTRING (-98.59369999999998 33.128370579972, -98.31965200000002 33.0619360212675",500.0
CORPUS CHRISTI 4 0-CORPUS CHRISTI 5 0-i_530,"LINESTRING (-97.260242 27.620741728063198, -97.26044300000001 27.688775696511193",115.0
ANGELINA_SOLAR 1 - LUFKIN 3 0 - 3256,"LINESTRING (-94.86 31.37, -94.81537 31.334633359527395",230.0
COMFORT 0-BOERNE 2 1-i_2123,"LINESTRING (-98.895706 29.966074682359803, -98.697635 29.856719284854496",115.0
CUERO 1 0-GONZALES 0-i_1815,"LINESTRING (-97.316636 29.123424464446497, -97.439924 29.4706858196306",115.0
FORT WORTH 8 0-BURLESON 1-i_1087,"LINESTRING (-97.271334 32.61763224758379, -97.29790700000001 32.530237882444496",161.0
MERIDIAN 0 - OWENS_SOLAR - 3272,"LINESTRING (-97.70112300000001 31.910103277854905, -97.62 31.85",161.0
PFLUGERVILLE 1 - PFLUGERVILLE_SOLAR 2 - 3257,"LINESTRING (-97.58594 30.4360509097312, -97.58 30.41",230.0
KERMIT 0-PECOS 0-i_121,"LINESTRING (-103.129992 31.6901247102362, -103.59091400000001 31.7974278048913",115.0
HOUSTON 10 0-PASADENA 2 2-i_2192,"LINESTRING (-95.16952100000002 29.761429903746293, -95.162079 29.715995970726297",115.0
QUEMADO 1 - TREVINO_SOLAR 1 - 3287,"LINESTRING (-100.58438599999997 28.94487257409901, -100.3 28.65",230.0
ELMENDORF 1-FLORESVILLE 0-i_2094,"LINESTRING (-98.3681 29.254187345212085, -98.06960600000001 29.067153025708105",230.0
SABINAL 0-D HANIS 0-i_482,"LINESTRING (-99.621829 29.297538142913105, -99.32018200000002 29.279005003508807",115.0
DALLAS 26 0-DALLAS 18 0-i_1415,"LINESTRING (-96.798192 32.9422050808012, -96.78389599999998 32.92187712750321",161.0
HOUSTON 80 0-CYPRESS 1 2-i_2209,"LINESTRING (-95.569235 29.977175304716393, -95.66512399999999 29.989044884309898",115.0
RICHARDSON 2 1-DALLAS 19 0-i_997,"LINESTRING (-96.73344 32.97364694061329, -96.784613 32.994957523788216",161.0
DENTON 1 1-DENTON 2 0-i_1214,"LINESTRING (-97.09170000000002 33.1950900168082, -97.051533 33.2064013281473",161.0
SANTA ANNA 0-COLEMAN 0-i_310,"LINESTRING (-99.37160099999998 31.509177795082408, -99.558791 31.730778395645785",115.0
PROGRESO 0-SANTA MARIA 0-i_517,"LINESTRING (-97.95314 26.076710093046994, -97.731451 26.046244410934804",115.0
FORESTBURG 0-LINDSAY 0-i_154,"LINESTRING (-97.436189 33.46561084609758, -97.30183400000003 33.609858861309796",161.0
PEARSALL 0-HONDO 0-i_759,"LINESTRING (-99.0739 28.92119813472441, -99.130334 29.4211037564241",230.0
BOERNE 2 1-FREDERICKSBURG 0-i_481,"LINESTRING (-98.697635 29.856719284854496, -98.86768300000001 30.274720146851507",115.0
GARLAND 1 1-ROCKWALL 2 0-i_1504,"LINESTRING (-96.56768500000001 32.85519770528371, -96.449275 32.94148406109261",161.0
HOUSTON 59 0-MISSOURI CITY 1 0-i_2327,"LINESTRING (-95.45709299999999 29.581037415007795, -95.51194900000002 29.59792983429211",115.0
HOUSTON 4 0-KATY 3 0-i_2678,"LINESTRING (-95.38816 29.718546834432193, -95.82525100000001 29.738129322559097",500.0
SPRING 3 0-SPRING 6 0-i_2858,"LINESTRING (-95.46475999999998 30.134481265014582, -95.51346400000001 30.120936923286393",115.0
MCALLEN 2 0-MCALLEN 1 0-i_504,"LINESTRING (-98.230592 26.209356438198604, -98.22757 26.265508557994696",115.0
HOUSTON 39 0-HOUSTON 56 0-i_2811,"LINESTRING (-95.387702 29.750972052268914, -95.45000900000001 29.737578308820204",115.0
CORPUS CHRISTI 9 0-CORPUS CHRISTI 11 0-i_626,"LINESTRING (-97.383456 27.813050968737212, -97.39728900000001 27.676901003208105",115.0
FORT WORTH 11 0-FORT WORTH 19 0-i_1576,"LINESTRING (-97.314201 32.72626519536611, -97.359895 32.70621565066099",161.0
DENISON 2 0-POTTSBORO 0-i_205,"LINESTRING (-96.59506100000002 33.764799661257, -96.716989 33.794733752820896",161.0
ITALY 0-FORRESTON 0-i_1374,"LINESTRING (-96.84218 32.171617713282195, -96.833324 32.2314217183227",161.0
DALLAS 27 0-DALLAS 14 0-i_909,"LINESTRING (-96.79908100000002 32.74440068832589, -96.755851 32.66302247819911",161.0
DUNCANVILLE 1 0-ARLINGTON 4 0-i_1278,"LINESTRING (-96.908282 32.658235348339204, -97.079596 32.7518498908807",161.0
WAXAHACHIE 2 0-RED OAK 0-i_1472,"LINESTRING (-96.91192300000002 32.358396248402, -96.803715 32.51934458803692",161.0
MONAHANS 2 0-FORT DAVIS 0-i_25,"LINESTRING (-103.15204600000001 31.478445777491114, -103.750065 30.998797517330914",115.0
FLOWER MOUND 2 0-SOUTHLAKE 0-i_1066,"LINESTRING (-97.121306 33.03247555130001, -97.144982 32.957505499117",161.0
FAIRFIELD 1 0-JEWETT 1 0-i_3084,"LINESTRING (-96.09510000000002 31.884586583442704, -96.2345 31.41575566729249",500.0
SARITA 2 0-SARITA 3 0-i_513,"LINESTRING (-97.53910000000002 27.113291412381788, -97.4969 27.0637885794484",115.0
RHOME 0-BOYD 0-i_932,"LINESTRING (-97.45919300000001 33.09095215487141, -97.59348300000003 33.03952774455499",161.0
BURLESON 1-MANSFIELD 1-i_945,"LINESTRING (-97.29790700000001 32.530237882444496, -97.17973400000001 32.50154410714119",161.0
RICHMOND 1 0-THOMPSONS 2-i_2329,"LINESTRING (-95.67658600000001 29.480170915947696, -95.6167 29.474024945058016",115.0
SKIDMORE 0-BEEVILLE 0-i_579,"LINESTRING (-97.641894 28.2398461714294, -97.70162 28.401378801973113",115.0
SAN ANTONIO 36 0-SAN ANTONIO 34 0-i_1932,"LINESTRING (-98.552964 29.542783466317005, -98.525289 29.46590556313739",115.0
TYLER 9 0-CHANDLER 0-i_3015,"LINESTRING (-95.43434799999999 32.40702851693761, -95.512442 32.2653479932959",115.0
BAY CITY 0-FREEPORT 2 1-i_2825,"LINESTRING (-95.82845 28.7821687036371, -95.38588100000001 28.98499101570269",230.0
PARIS 1 0 - SAMSON SOLAR 1 0 - 3298,"LINESTRING (-95.57199999999999 33.62480490119471, -95.5 33.65",500.0
May-00-EARLY 0-i_847,"LINESTRING (-98.91840400000001 31.925122275744005, -98.796134 31.83644839017251",161.0
POINT COMFORT 1 2-PORT O CONNOR 0-i_2371,"LINESTRING (-96.53839700000002 28.6242727777279, -96.482788 28.4383130110563",115.0
PANHANDLE 2 0 - DAWN_SOLAR 0 - 3211,"LINESTRING (-101.29283300000002 35.232452121577005, -102.5 34.89",500.0
MENARD 0-GOODFELLOW AFB 0-i_488,"LINESTRING (-100.098479 30.891365574860888, -100.14367 31.283370011764596",115.0
NORTH RICHLAND HILLS 1 0-NORTH RICHLAND HILLS 2 0-i_1315,"LINESTRING (-97.20478399999999 32.884171495720814, -97.221695 32.8375912252615",161.0
PANHANDLE 1 0-WHITE DEER 0-i_222,"LINESTRING (-101.36377799999998 35.43691198179582, -101.2349 35.47303661511711",161.0
MISSION 1 1-MISSION 4 1-i_590,"LINESTRING (-98.36320000000002 26.175696438298097, -98.354566 26.222276155465096",115.0
PORT BOLIVAR 0-WINNIE 0-i_2779,"LINESTRING (-94.511121 29.500599669994603, -94.594021 29.8623021786516",115.0
AUSTIN 24 0-AUSTIN 13 0-i_2065,"LINESTRING (-97.76148100000002 30.240543945822285, -97.71048199999998 30.2279866279823",115.0
SAN ANTONIO 51 0-NEW BRAUNFELS 1 1-i_1988,"LINESTRING (-98.730432 29.535276280271308, -98.0084 29.73469923703731",230.0
TYLER 3 0-TYLER 6 0-i_3140,"LINESTRING (-95.20407 32.4123338742814, -95.306262 32.356352106241104",115.0
VAN VLECK 0-WEST COLUMBIA 0-i_2704,"LINESTRING (-95.93209000000002 29.126379645204704, -95.674469 29.149328049449416",115.0
HOUSTON 79 0-HOUSTON 56 0-i_2445,"LINESTRING (-95.55665400000001 29.738824339888897, -95.45000900000001 29.737578308820204",115.0
SAN ANTONIO 10 0-SAN ANTONIO 6 0-i_1978,"LINESTRING (-98.39352699999998 29.4891231374331, -98.359361 29.516130805996212",115.0
JACKSBORO 2 0-BRYSON 1 1-i_1284,"LINESTRING (-98.179154 33.213561437584, -98.32906900000002 33.19977648884561",161.0
